,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,basement,yr_built,sqft_living15,yr_sold,zip_98008_98028,zip_98028_98038,zip_98038_98053,zip_98053_98065,zip_98065_98103,zip_98103_98115,zip_98115_98125,zip_98125_98155,zip_98155_98200
0,221900.0,0.3333333333333333,0.09090909090909091,0.36991007811876037,0.6616032705691641,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1955,0.4354219953428755,2014,0,0,0,0,0,0,0,0,1
1,538000.0,0.3333333333333333,0.5454545454545454,0.7562271626105334,0.7304492082460933,0.5532947556651122,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1951,0.566527283874719,2014,0,0,0,0,0,0,1,0,0
2,180000.0,0.0,0.09090909090909091,0.15804916061559623,0.8199415100944241,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,1933,0.8353962743313154,2015,1,0,0,0,0,0,0,0,0
3,604000.0,0.6666666666666666,0.8181818181818182,0.6217485187739783,0.6277081518494172,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,1965,0.4437920081765468,2014,0,0,0,0,0,0,0,1,0
4,510000.0,0.3333333333333333,0.45454545454545453,0.5452432585923881,0.7608157574783823,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1987,0.6021529572570299,2015,0,0,0,0,1,0,0,0,0
6,257500.0,0.3333333333333333,0.5454545454545454,0.555476647987569,0.7137579717663404,0.5532947556651122,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1995,0.7252001593526357,2014,0,0,0,0,0,0,0,0,0
7,291850.0,0.3333333333333333,0.2727272727272727,0.31668392814518265,0.8118084572255729,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1963,0.5529945282988193,2015,0,0,0,0,0,0,0,0,1
8,229500.0,0.3333333333333333,0.09090909090909091,0.5739392158168035,0.7390458967527396,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1960,0.5958404275317832,2015,0,0,0,0,0,0,0,1,0
9,323000.0,0.3333333333333333,0.6363636363636364,0.6036991914365828,0.7030189763085478,0.5532947556651122,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,2003,0.7623244716553864,2015,0,1,0,0,0,0,0,0,0
10,662500.0,0.3333333333333333,0.6363636363636364,0.9179494105969968,0.8142253894828935,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,1.0,1965,0.7180871899848422,2015,0,0,0,0,0,0,0,0,0
11,468000.0,0.0,0.09090909090909091,0.3614260800379499,0.6782721390168269,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,1.0,1942,0.4311900239985886,2014,0,0,0,0,0,1,0,0,0
13,400000.0,0.3333333333333333,0.36363636363636365,0.4440061015205622,0.8109217195827529,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,1977,0.44793096832027746,2014,0,0,0,0,1,0,0,0,0
14,530000.0,1.0,0.45454545454545453,0.5822341465421751,0.6192607745701256,0.32365668390976515,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1900,0.4437920081765468,2015,0,0,0,0,0,1,0,0,0
15,650000.0,0.6666666666666666,0.8181818181818182,0.8246668195263723,0.6277081518494172,0.5532947556651122,0.0,0.75,0.3333333333333333,1.0,1.0,1979,0.6999028215005056,2015,0,0,0,0,0,0,0,1,0
16,395000.0,0.3333333333333333,0.45454545454545453,0.6036991914365828,0.9140479926180956,0.5532947556651122,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1994,0.6297177183510683,2014,1,0,0,0,0,0,0,0,0
17,485000.0,0.6666666666666666,0.09090909090909091,0.5210286121940212,0.5858798195600555,0.32365668390976515,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,1916,0.5391296476251985,2014,0,0,0,0,1,0,0,0,0
18,189000.0,0.0,0.09090909090909091,0.3782514812260217,0.8157499827637098,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,1921,0.30299367568639546,2014,0,0,0,0,0,0,0,0,0
19,230000.0,0.3333333333333333,0.09090909090909091,0.39851151066866386,0.8136018480369916,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,1969,0.4095411864128968,2015,0,0,0,0,0,0,0,0,0
20,385000.0,0.6666666666666666,0.36363636363636365,0.5271939312549921,0.6265965907917143,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,1.0,1947,0.46016896738990476,2014,0,0,0,0,0,0,0,1,0
22,285000.0,1.0,0.6363636363636364,0.694623171674825,0.6918033159019994,0.5532947556651122,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1995,0.7257048181917052,2014,0,0,0,0,1,0,0,0,0
23,252700.0,0.0,0.2727272727272727,0.32134407320135105,0.8098596303928093,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1985,0.3824176323172857,2014,0,1,0,0,0,0,0,0,0
24,329000.0,0.3333333333333333,0.5454545454545454,0.7324950654013964,0.70047071232225,0.5532947556651122,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,1985,0.7155249836306211,2014,0,1,0,0,0,0,0,0,0
25,233000.0,0.3333333333333333,0.45454545454545453,0.5540275906018944,0.6103709133710365,0.32365668390976515,0.0,0.0,1.0,0.0,0.0,1941,0.2867734554205744,2014,0,0,0,0,0,0,0,0,0
26,937000.0,0.3333333333333333,0.36363636363636365,0.7324950654013964,0.45589272443560647,0.5532947556651122,0.0,0.0,0.3333333333333333,0.6666666666666666,1.0,1915,0.5894565682776529,2014,0,0,0,0,0,0,1,0,0
27,667000.0,0.3333333333333333,0.09090909090909091,0.45475674140761196,0.30839110301183553,0.32365668390976515,0.0,0.0,1.0,0.6666666666666666,0.0,1909,0.6206780769777347,2014,0,0,0,0,0,1,0,0,0
28,438000.0,0.3333333333333333,0.36363636363636365,0.4955716577577002,0.6953028464069253,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1948,0.5066306583745488,2014,0,0,0,0,0,1,0,0,0
29,719000.0,0.6666666666666666,0.6363636363636364,0.7562271626105334,0.7277941683676166,0.5532947556651122,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,2005,0.8163862948089629,2015,0,0,1,0,0,0,0,0,0
30,580500.0,0.3333333333333333,0.6363636363636364,0.7054362748181436,0.5644326842171309,0.5532947556651122,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,2003,0.805542093688621,2014,1,0,0,0,0,0,0,0,0
31,280000.0,0.0,0.2727272727272727,0.37409830383475207,0.24654963497530993,0.8769514395748774,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,2005,0.45611901791244686,2014,0,0,0,0,0,0,0,1,0
32,687500.0,0.6666666666666666,0.36363636363636365,0.7075709095154666,0.6277081518494172,0.32365668390976515,0.0,0.0,0.6666666666666666,0.3333333333333333,1.0,1929,0.4838772934912587,2014,0,0,0,0,0,0,1,0,0
33,535000.0,0.3333333333333333,0.09090909090909091,0.33053510998001134,0.4860387807718201,0.32365668390976515,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,1929,0.5249159285765707,2014,0,0,0,0,0,0,1,0,0
34,322500.0,0.6666666666666666,0.7272727272727273,0.6464452456396079,0.7071730863759698,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1981,0.6672996110905552,2014,0,0,0,1,0,0,0,0,0
35,696000.0,0.3333333333333333,0.6363636363636364,0.7011392626766937,0.4915307248408181,0.32365668390976515,0.0,0.0,0.3333333333333333,0.6666666666666666,1.0,1930,0.5320674865093622,2014,0,0,0,0,0,1,0,0,0
37,640000.0,0.6666666666666666,0.45454545454545453,0.7139202728989541,0.6782721390168269,0.5532947556651122,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,1904,0.5797434545467238,2014,0,0,0,0,0,1,0,0,0
38,240000.0,0.6666666666666666,0.09090909090909091,0.38645500357061696,0.760644086712991,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,1969,0.41393782753385244,2015,0,0,0,0,0,0,0,0,0
39,605000.0,0.6666666666666666,0.6363636363636364,0.7657901136158337,0.7421103932662917,0.5532947556651122,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1996,0.8142340425574282,2014,0,0,0,1,0,0,0,0,0
40,625000.0,0.6666666666666666,0.6363636363636364,0.7562271626105334,0.6551475744917619,0.5532947556651122,0.0,0.0,0.3333333333333333,1.0,0.0,2000,0.7809258401828436,2014,0,0,0,0,1,0,0,0,0
42,861990.0,1.0,0.7272727272727273,0.9228049526302005,0.6610628017580269,0.5532947556651122,0.0,0.0,0.3333333333333333,1.0,0.0,2014,0.9976670350905041,2014,0,0,1,0,0,0,0,0,0
43,685000.0,0.3333333333333333,0.09090909090909091,0.5116346067790981,0.40992808169518496,0.5532947556651122,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1922,0.5285030233747379,2014,0,0,0,0,0,0,1,0,0
44,309000.0,0.3333333333333333,0.09090909090909091,0.41028206556660307,0.8102332605300753,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,1959,0.4354219953428755,2014,0,0,0,1,0,0,0,0,0
45,488000.0,0.3333333333333333,0.6363636363636364,0.8587959346976751,0.9052786763434643,0.5532947556651122,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,2003,0.9000903138250219,2014,1,0,0,0,0,0,0,0,0
46,210490.0,0.3333333333333333,0.09090909090909091,0.28277696424620025,0.7757815367813806,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,1966,0.38611023064406513,2015,1,0,0,0,0,0,0,0,0
47,785000.0,0.6666666666666666,0.6363636363636364,0.698976724170109,0.901439725445306,0.5532947556651122,0.0,0.0,0.6666666666666666,1.0,0.0,1981,0.827026261497644,2014,0,0,0,0,0,0,0,0,0
48,450000.0,0.3333333333333333,0.36363636363636365,0.39851151066866386,0.6765566170094456,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,1953,0.25286534857964005,2015,0,0,0,0,0,1,0,0,0
50,228000.0,0.3333333333333333,0.09090909090909091,0.37409830383475207,0.7967867989186808,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1955,0.36835137380058663,2014,0,0,0,0,0,0,0,1,0
51,345000.0,1.0,0.6363636363636364,0.8572228690320001,0.7948202039415437,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,1966,0.6588461037569504,2015,0,0,0,1,0,0,0,0,0
52,600000.0,0.3333333333333333,0.36363636363636365,0.45828915348715166,0.5713147771248,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,1.0,1950,0.46419009135993206,2014,0,0,0,0,0,0,1,0,0
53,585000.0,0.0,0.36363636363636365,0.626787159026394,0.7764960646948321,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1981,0.491564017953668,2015,0,0,0,0,0,0,1,0,0
54,920000.0,1.0,0.5454545454545454,0.7862016624618893,0.6782721390168269,0.32365668390976515,0.0,0.0,0.3333333333333333,0.6666666666666666,1.0,1927,0.8374695446681987,2015,0,0,0,0,0,1,0,0,0
55,885000.0,0.6666666666666666,0.6363636363636364,0.8040561706399534,0.6277081518494172,0.5532947556651122,0.0,0.0,0.3333333333333333,1.0,0.0,1995,0.6473743282423585,2014,0,0,0,0,0,1,0,0,0
56,292500.0,0.6666666666666666,0.6363636363636364,0.6902310916656341,0.5981797663979956,0.5532947556651122,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,2008,0.7282213726099981,2014,0,0,1,0,0,0,0,0,0
57,301000.0,0.3333333333333333,0.6363636363636364,0.7263803867977955,0.6134827715663964,0.5532947556651122,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,2003,0.8291304186143382,2015,0,0,1,0,0,0,0,0,0
58,951000.0,1.0,0.9090909090909091,0.8727335626909402,0.9199501885996755,0.5532947556651122,0.0,1.0,0.6666666666666666,0.6666666666666666,0.0,1968,0.8831682841084365,2014,0,0,0,0,0,0,0,0,0
59,430000.0,0.6666666666666666,0.8181818181818182,0.5930827053014034,0.8192751082215988,0.5532947556651122,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1991,0.7332211002197894,2015,0,0,0,1,0,0,0,0,0
61,289000.0,0.3333333333333333,0.36363636363636365,0.40246612762438855,0.7715873681859813,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1954,0.41393782753385244,2014,0,0,0,0,0,0,0,1,0
62,505000.0,0.3333333333333333,0.36363636363636365,0.7462793381582875,0.7810004300404314,0.5532947556651122,0.0,0.0,1.0,0.6666666666666666,0.0,1973,0.7877464324718013,2014,0,0,0,0,0,0,0,0,1
63,549000.0,0.3333333333333333,0.36363636363636365,0.50205935539579,0.19329798186575303,0.8769514395748774,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,2014,0.5285030233747379,2014,0,0,0,0,0,1,0,0,0
